Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
44547,94,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21276.59574,94.0,0.0,94,94,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,10638.29787,10638.29787,0,0,0.0,0.0,0.0,0,0,1,0.0,0,416,943,0,32,0.0,0,0,0.0,0,0
53,46875,2,60,30,30,30.0,0.0,132,132,132.0,0.0,6912.0,85.3333333333,15625.0,27058.097715841,46869,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,42.6666666667,42.6666666667,30,132,70.8,55.8677008655,3121.2,0,0,0,88.5,60,-1,-1,1,20,0.0,0,0,0.0,0,0
53,23861,2,64,32,32,32.0,0.0,48,48,48.0,0.0,6705.502703,167.6375676,7953.666667,13732.00591,23810,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,40,40,83.81878379,83.81878379,32,48,38.4,8.76356092,76.8,0,0,0,48.0,64,-1,-1,1,20,0.0,0,0,0.0,0,0
53,379,1,92,92,92,92.0,0.0,174,174,174.0,0.0,701846.9657,5277.044855,379.0,0.0,379,379,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,2638.522427,2638.522427,92,174,119.3333333,47.34272207,2241.333333,0,0,0,179.0,92,-1,-1,0,32,0.0,0,0,0.0,0,0
443,93,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21505.376344086,93.0,0.0,93,93,93,93.0,0.0,93,93,0,0.0,0.0,0,0,64,0,21505.376344086,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,364,-1,0,32,0.0,0,0,0.0,0,0
53,201,2,64,32,32,32.0,0.0,48,48,48.0,0.0,796019.9005,19900.49751,67.0,34.6554469,107,46,46,46.0,0.0,46,46,48,48.0,0.0,48,48,40,40,9950.248756,9950.248756,32,48,38.4,8.76356092,76.8,0,0,0,48.0,64,-1,-1,1,20,0.0,0,0,0.0,0,0
443,117427948,34,1097,323,0,32.2647058824,67.3544711002,2860,0,1113.9375,647.6045354292,464.6764329051,0.6983005443,1449727.75308642,9115139.60390485,58865261,1,117427948,3558422.66666667,14149504.4465359,58928214,4,117211037,2493851.85106383,11934745.5965925,58887278,1,692,972,0.2895392501,0.4087612942,0,2860,657.421686747,729.055204181,531521.490743462,0,1,0,665.4390243902,1097,8192,360,33,20,225109.0,236352,213866,58380425.0,58865261,57895589
80,2056003,4,24,6,6,6.0,0.0,0,0,0.0,0.0,11.67313472,1.945522453,685334.3333,1187029.555,2055998,1,2056003,685334.3333,1187029.555,2055998,1,0,0.0,0.0,0,0,80,0,1.945522453,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0
53,191,2,72,36,36,36.0,0.0,68,68,68.0,0.0,1089005.23560209,20942.4083769633,63.6666666667,69.8307477644,140,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,64,64,10471.2041884817,10471.2041884817,36,68,48.8,17.5271218402,307.2,0,0,0,61.0,72,-1,-1,1,32,0.0,0,0,0.0,0,0
53,1030818,1,51,51,51,51.0,0.0,179,179,179.0,0.0,223.1237716066,1.9402067096,1030818.0,0.0,1030818,1030818,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,0.9701033548,0.9701033548,51,179,93.6666666667,73.9008344563,5461.3333333333,0,0,0,140.5,51,-1,-1,0,32,0.0,0,0,0.0,0,0
